exercise,utility,mechanics,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles,minor_muscle,major_muscle
Dumbbell Rear Lateral Raise,Auxiliary,Isolated,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']","['Triceps Brachii', 'Wrist Extensors', 'Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Quadriceps']",[''],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Leg Curl (on power wheel),Basic or Auxiliary,Isolated,hamstrings,"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']","['Gluteus Maximus', 'Erector Spinae']",[''],"['Tibialis Anterior', 'Rectus Abdominis', 'Obliques']",Thighs,Legs
Lever Seated Decline Fly (gripless),Auxiliary,Isolated,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Pectoralis Minor']",['No significant stabilizers'],[''],[''],Chest,Chest
Neutral Grip Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",[''],Back,Back
Dumbbell Lying Supination,Auxiliary,Isolated,supinator,['Biceps Brachii'],[''],[''],[''],Forearms,Arms
"45° Hyperextension (across bench, hands behind neck)",Basic or Auxiliary,Compound,erector spinae,"['Gluteus Maximus', 'Hamstrings', 'Adductor Magnus']",['No significant stabilizers'],[''],[''],Back,Back
Suspended Pike Press,Basic,Compound,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Triceps Brachii', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Serratus Anterior', 'Quadriceps', 'Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius', 'Rectus Abdominis', 'Obliques']","['Triceps, Long Head', 'Biceps Brachii, Short Head']",['Erector Spinae'],Shoulders,Shoulders
Dumbbell Incline Y Raise,Auxiliary,Isolated,"deltoid, lateral","['Supraspinatus', 'Teres Minor', 'Infraspinatus', 'Trapezius, Lower', 'Trapezius, Middle', 'Serratus Anterior, Inferior Digitations', 'Deltoid, Anterior', 'Deltoid, Posterior']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Cable Alternating Seated Pushdown,Auxiliary,Isolated,triceps brachii,['None'],"['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Trapezius, Lower', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Single Leg Squat (with leg back),Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Cable Incline Row,Basic or Auxiliary,Compound,"back, general","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']","['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Dumbbell Incline Bench Press,Basic or Auxiliary,Compound,"pectoralis major, clavicular","['Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",[''],Chest,Chest
Bench Dip (heels on floor),Basic,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",['Biceps Brachii'],[''],Upper Arms,Arms
Vertical Leg Raise,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Latissimus Dorsi', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Trapezius, Lower']",['Rectus Femoris'],[''],Waist,Legs
Dumbbell Incline Row,Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Lever 45° Calf Raise (plate loaded),Basic,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Lever Incline Shoulder Raise (plate loaded),Auxiliary,Isolated,serratus anterior,"['Pectoralis Major, Clavicular']","['Deltoid, Anterior', 'Triceps Brachii']",[''],[''],Chest,Chest
Safety Barbell Squat (self-spotting),Basic,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",['Erector Spinae'],"['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Thighs,Legs
Band-assisted Archer Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Minor']",['Triceps Brachii'],"['Triceps, Long Head']",[''],Back,Back
Barbell Sumo Block Pull,Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Cable Neck Extension,Basic or Auxiliary,Isolated,splenius,"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']","['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Latissimus Dorsi', 'Rhomboids', 'Triceps Brachii']",[''],[''],Neck,Shoulders
Lever Narrow Grip Seated Row (plate loaded),Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Weighted Back Raise (on hyperextension apparatus),Auxiliary,Isolated,hamstrings,"['Gluteus Maximus', 'Adductor Magnus']","['Erector Spinae', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Lower', 'Trapezius, Middle', 'Rhomboids']",[''],"['Rectus Abdominis', 'Obliques']",Thighs,Legs
Lever Close Grip Pulldown,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Cable Pushdown,Basic or Auxiliary,Isolated,triceps brachii,['None'],"['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Trapezius, Lower', 'Rectus Abdominis', 'Obliques', 'Wrist Flexors']",[''],['Erector Spinae'],Upper Arms,Arms
Cable One Arm Curl,Auxiliary,Isolated,biceps brachii,"['Brachialis', 'Brachioradialis']","['Deltoid, Anterior', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Archer Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Minor']",['Triceps Brachii'],"['Triceps, Long Head']",[''],Back,Back
Cable Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",[''],Back,Back
Jack-knife on Power Wheel,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Adductor Brevis', 'Gluteus Maximus', 'Adductor Magnus']","['Rectus Abdominis', 'Obliques', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Serratus Anterior', 'Pectoralis Minor', 'Deltoid, Anterior', 'Triceps Brachii', 'Quadriceps']","['Rectus Femoris', 'Hamstrings']",[''],Waist,Legs
Dumbbell Lying Rear Delt Row,Basic or Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']",[''],['Biceps Brachii'],[''],Shoulders,Shoulders
Trap Bar Shrug (elevated stand),Basic,Isolated,"trapezius, upper","['Trapezius, Middle', 'Levator Scapulae']",['Erector Spinae'],[''],[''],Back,Back
Lever Single Leg Squat (plate loaded),Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Lever Alternating Calf Extension,Basic or Auxiliary,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Cable Neck Flexion (with belt),Basic or Auxiliary,Isolated,sternocleidomastoid,['None'],"['Rectus Abdominis', 'Obliques']",[''],['Erector Spinae'],Neck,Shoulders
Barbell Squat (low bar),Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",['Erector Spinae'],"['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Machine-assisted Pull-up (open-centered bar),Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Rhomboids', 'Levator Scapulae', 'Pectoralis Minor', 'Trapezius, Lower', 'Pectoralis Major, Sternal']",[''],"['Triceps, Long Head']",[''],Back,Back
Hyperextension (hands behind hips),Basic or Auxiliary,Compound,erector spinae,"['Gluteus Maximus', 'Hamstrings', 'Adductor Magnus']",[''],[''],[''],Back,Back
Cable Stiff Leg Deadlift,Basic or Auxiliary,Compound,gluteus maximus,"['Erector Spinae', 'Adductor Magnus', 'Hamstrings']","['Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Weighted 45° Hyperextension,Basic or Auxiliary,Compound,hamstrings,"['Erector Spinae', 'Gluteus Maximus', 'Adductor Magnus']",['See comments'],[''],[''],Thighs,Legs
Split Squat,Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Gluteus Medius', 'Gluteus Minimus']","['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Weighted Sit-up,Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Obliques']",['Tibialis Anterior'],[''],[''],Waist,Legs
Trap Bar Straight Leg Deadlift,Basic,Compound,hamstrings,"['Erector Spinae', 'Gluteus Maximus', 'Adductor Magnus']","['Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']",Thighs,Legs
Lever Gripless Shrug,Auxiliary,Isolated,"trapezius, upper","['Trapezius, Middle', 'Levator Scapulae']",['Erector Spinae'],[''],[''],Back,Back
Sled 45° Leg Press,Basic,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Self-assisted Single Leg Calf Raise,Basic or Auxiliary,Isolated,gastrocnemius,['Soleus'],"['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']",[''],[''],Calves,Legs
Weighted Incline Crunch,Auxiliary,Isolated,rectus abdominis,['Obliques'],['Tibialis Anterior'],[''],[''],Waist,Legs
Cable Twisting Overhead Press,Basic or Auxiliary,Compound,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Deltoid, Lateral', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Gluteus Maximus', 'Adductor Magnus', 'Quadriceps', 'Soleus', 'Obliques', 'Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis', 'Tensor Fasciae Latae', 'Gluteus Medius']","['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae', 'Obliques']","['Triceps, Long Head', 'Hamstrings', 'Gastrocnemius']",[''],Shoulders,Shoulders
Cable Seated Rear Delt Row (stirrups),Basic or Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']","['Erector Spinae', 'Gluteus Maximus', 'Adductor Magnus']",['Biceps Brachii'],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Lever Seated Calf Press,Basic,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Dumbbell Single Leg Squat,Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus', 'Erector Spinae (see notes)']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques', 'Rectus Abdominis']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Dumbbell Supine Shoulder Internal Rotation (on bench with shoulder abducted),Auxiliary,Isolated,subscapularis,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Wrist Flexors']",[''],[''],Shoulders,Shoulders
Reclining Vertical Leg-Hip Raise,Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']","['Latissimus Dorsi', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Trapezius, Lower']",['Rectus Femoris'],[''],Waist,Legs
Suspended Pendulum,Auxiliary,Isolated,obliques,"['Gluteus Medius', 'Gluteus Minimus', 'Tensor Fasciae Latae', 'Sartorius', 'Hip Adductors', 'Pectineus', 'Gluteus Maximus, lower fibers']","['Rectus Abdominis', 'Psoas major', 'Rectus Femoris', 'Quadriceps', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Serratus Anterior', 'Triceps']",[''],['Erector Spinae'],Waist,Legs
Barbell Close Grip Incline Bench Press,Basic or Auxiliary,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Clavicular']",[''],['Biceps Brachii'],[''],Upper Arms,Arms
"Back Extension (on stability ball, arms down)",Auxiliary,Isolated,erector spinae,[' '],['No significant stabilizers'],[''],[''],Back,Back
Cable Preacher Curl,Auxiliary,Isolated,brachialis,"['Biceps Brachii', 'Brachioradialis']",['Wrist Flexors'],[''],[''],Upper Arms,Arms
Suspended Reclining Squat,Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Lever Reverse Hyper-extension (plate loaded),Auxiliary,Isolated,gluteus maximus,['Hamstrings'],['Erector Spinae'],[''],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Lever Barbell Rear Lunge (plate loaded),Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Dumbbell Seated Rear Lateral Raise,Auxiliary,Isolated,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']",['Triceps Brachii'],[''],[''],Shoulders,Shoulders
Weighted Inverse Leg Curl,Basic,Isolated,hamstrings,"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']","['Gluteus Maximus', 'Adductor Magnus', 'Erector Spinae']",[''],"['Rectus Abdominis', 'Obliques', 'Rectus Femoris', 'Tibialis Anterior']",Thighs,Legs
Cable Assisted Wheel Rollout,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Adductor Brevis', 'Latissimus Dorsi', 'Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Deltoid, Posterior', 'Rhomboids']","['Rectus Abdominis', 'Obliques', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Wrist Flexors']",['Rectus Femoris'],['Erector Spinae'],Waist,Legs
Dumbbell Squat,Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Rhomboids']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
"45° Hyperextension (on stability ball, arms crossed)",Basic or Auxiliary,Compound,erector spinae,"['Gluteus Maximus', 'Hamstrings', 'Adductor Magnus']",['No significant stabilizers'],[''],[''],Back,Back
Suspended Twisting Jack-knife,Basic or Auxiliary,Compound,obliques,"['Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Adductor Brevis', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Rectus Abdominis', 'Pectoralis Major', 'Serratus Anterior', 'Deltoid, Anterior', 'Triceps Brachii', 'Quadriceps']",['Rectus Femoris'],"['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']",Waist,Legs
Rear Lunge,Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Cable Bar Upright Row,Basic,Compound,"deltoid, lateral","['Deltoid, Anterior', 'Supraspinatus', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Infraspinatus', 'Teres Minor']","['Trapezius, Upper', 'Levator Scapulae']",[''],[''],Shoulders,Shoulders
Weighted Single Leg Squat,Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus', 'Erector Spinae (see notes)']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques', 'Rectus Abdominis']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Side Plank,Auxiliary,Isolated,obliques,[''],"['Gluteus Medius', 'Gluteus Minimus', 'Tensor Fasciae Latae', 'Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis', 'Adductors, Hip', 'Pectineus', 'Gracilis', 'Gluteus Maximus, Lower Fibers', 'Latissimus dorsi', 'Pectoralis major', 'Pectoralis minor', 'Levator Scapulae']",[''],"['Obliques', 'Iliocastalis lumborum', 'Iliocastalis thoracis']",Waist,Legs
Lever Neck Flexion (plate loaded),Basic or Auxiliary,Isolated,sternocleidomastoid,['None'],"['Latissimus Dorsi', 'Deltoid, Posterior', 'Rhomboids', 'Trapezius, Middle', 'Trapezius, Lower', 'Triceps Brachii', 'Rectus Abdominis', 'Obliques']",[''],[''],Neck,Shoulders
Trap Bar Deadlift,Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Self-assisted Inverse Leg Curl,Basic,Isolated,hamstrings,"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii', 'Wrist Flexors']","['Gluteus Maximus', 'Adductor Magnus', 'Erector Spinae']",[''],"['Rectus Abdominis', 'Obliques', 'Rectus Femoris', 'Tibialis Anterior']",Thighs,Legs
"Back Extension (on stability ball, arms up)",Auxiliary,Isolated,erector spinae,[' '],"['Deltoid, Anterior', 'Deltoid, Lateral', 'Trapezius, Lower', 'Trapezius, Middle']",[''],[''],Back,Back
Lever Standing Calf Raise,Basic,Isolated,gastrocnemius,['Soleus'],"['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']",[''],[''],Calves,Legs
Dumbbell Side Lunge,Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus (lead leg)', 'Adductors (extended leg)', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Tibialis Anterior', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Smith Single Leg Squat,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Thighs,Legs
Lever Incline Row (plate loaded),Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Sled Standing Reverse Calf Raise,Basic or Auxiliary,Isolated,tibialis anterior,['None'],"['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']",[''],[''],Calves,Legs
