exercise,utility,mechanics,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles,minor_muscle,major_muscle
Lever Straight-back Straight-leg Deadlift (plate loaded),Basic or Auxiliary,Isolated,hamstrings,"['Gluteus Maximus', 'Adductor Magnus']","['Erector Spinae', 'Trapezius, Middle', 'Rhomboids', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']",Thighs,Legs
Dumbbell Single Leg Reverse Calf Raise,Auxiliary,Isolated,tibialis anterior,['None'],"['Gluteus Medius', 'Gluteus Maximus', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']",[''],[''],Calves,Legs
Single Leg Box Squat (pistol),Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Thighs,Legs
Close Grip Push-up (on knees),Basic,Compound,triceps brachii,"['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Deltoid, Anterior']","['Rectus Abdominis', 'Obliques']","['Biceps Brachii, Short Head']",[''],Upper Arms,Arms
Weighted Side Bend (on stability ball),Auxiliary,Isolated,obliques,"['Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis']",['No significant stabilizers'],[''],[''],Waist,Legs
Lever 45° Calf Press (plate loaded),Basic,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Lever Barbell Shrug (plate loaded),Basic,Isolated,"trapezius, upper","['Trapezius, Middle', 'Levator Scapulae']",['Erector Spinae'],[''],[''],Back,Back
Lever Straight-leg Lying Hip Extension,Auxiliary,Isolated,hamstrings,"['Gluteus Maximus', 'Adductor Magnus']","['Erector Spinae', 'Trapezius, Middle', 'Rhomboids', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']",Thighs,Legs
Weighted Front Squat,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Deltoid, Anterior', 'Deltoid, Lateral', 'Supraspinatus', 'Pectoralis Major, Clavicular', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Trapezius, Lower', 'Serratus Anterior', 'Brachioradialis', 'Brachialis', 'Biceps Brachii']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Thighs,Legs
Safety Barbell Squat,Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",['Erector Spinae'],"['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Sled Seated Calf Press,Basic,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Lever Incline Shoulder Raise,Auxiliary,Isolated,serratus anterior,"['Pectoralis Major, Clavicular']","['Deltoid, Anterior', 'Triceps Brachii']",[''],[''],Chest,Chest
Barbell Underhand Bent-over Row,Basic or Auxiliary,Compound,"back, general","['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Quadriceps']","['Biceps Brachii', 'Triceps, Long Head']","['Rectus Abdominis', 'Obliques']",Back,Back
Cable One Arm Reverse Wrist Curl,Basic or Auxiliary,Isolated,wrist extensors,['None'],['No significant stabilizers'],[''],[''],Forearms,Arms
Incline Straight Leg Raise,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Rectus Femoris', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Quadriceps', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",[''],[''],Waist,Legs
