exercise,utility,mechanics,force,target_muscles,synergist_muscles,stabilizer_muscles
Lever Lateral Raise,Basic or AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,"['Deltoid, Lateral']","['Deltoid, AnteriorSupraspinatusTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'SupraspinatusTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Trapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Trapezius, LowerSerratus Anterior, Inferior Digitations', 'Serratus Anterior, Inferior Digitations']","['Trapezius, UpperLevator Scapulae', 'Levator Scapulae']"
Cable Standing Decline Chest Press,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, ClavicularDeltoid, AnteriorTriceps BrachiiPectoralis Minor', 'Deltoid, AnteriorTriceps BrachiiPectoralis Minor', 'Triceps BrachiiPectoralis Minor', 'Pectoralis Minor']",['']
Suspended Single Leg Split Squat,Basic or AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Gluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MinimusQuadratus LumborumObliques', 'Quadratus LumborumObliques', 'Obliques']"
Lever Seated High Row (plate loaded),BasicMechanicsCompoundForcePull,CompoundForcePull,Pull,"['Back, General']","['Trapezius, MiddleTrapezius, LowerRhomboidsLatissimus DorsiTeres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Trapezius, LowerRhomboidsLatissimus DorsiTeres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'RhomboidsLatissimus DorsiTeres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Latissimus DorsiTeres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Teres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Deltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'InfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Teres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'BrachialisBrachioradialisPectoralis Major, Sternal', 'BrachioradialisPectoralis Major, Sternal', 'Pectoralis Major, Sternal']",['']
Lever Front Squat (plate loaded),BasicMechanicsCompoundForcePush,CompoundForcePush,Push,[],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Erector SpinaeTrapezius, UpperTrapezius, MiddleLevator Scapulae', 'Trapezius, UpperTrapezius, MiddleLevator Scapulae', 'Trapezius, MiddleLevator Scapulae', 'Levator Scapulae']"
Smith Reverse Calf Raise,Basic or AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Tibialis Anterior'],['None'],['No significant stabilizers']
Lever Split V-Squat,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Gluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MinimusQuadratus LumborumObliques', 'Quadratus LumborumObliques', 'Obliques']"
"Barbell Lying Triceps Extension ""Skull Crusher""",BasicMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Triceps Brachii'],['None'],"['Deltoid, AnteriorPectoralis Major, ClavicularPectoralis Major, SternalLatissimus DorsiTeres MajorDeltoid, PosteriorWrist Flexors', 'Pectoralis Major, ClavicularPectoralis Major, SternalLatissimus DorsiTeres MajorDeltoid, PosteriorWrist Flexors', 'Pectoralis Major, SternalLatissimus DorsiTeres MajorDeltoid, PosteriorWrist Flexors', 'Latissimus DorsiTeres MajorDeltoid, PosteriorWrist Flexors', 'Teres MajorDeltoid, PosteriorWrist Flexors', 'Deltoid, PosteriorWrist Flexors', 'Wrist Flexors']"
Barbell Squat (with chains),Basic or AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,[],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']",['Erector Spinae']
Lever Seated Hip Abduction (plate loaded),AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Hip Abductors (listed below)'],"['Gluteus MediusGluteus MinimusGluteus MaximusPiriformisObturator externus', 'Gluteus MinimusGluteus MaximusPiriformisObturator externus', 'Gluteus MaximusPiriformisObturator externus', 'PiriformisObturator externus', 'Obturator externus']",['No significant stabilizers']
Lever Single Leg Squat (plate loaded),AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Erector SpinaeGluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MinimusQuadratus LumborumObliques', 'Quadratus LumborumObliques', 'Obliques']"
Lever Stiff Leg Deadlift (plate loaded),Basic or AuxiliaryMechanicsCompoundForcePull,CompoundForcePull,Pull,['Erector Spinae'],"['Gluteus MaximusAdductor MagnusHamstrings', 'Adductor MagnusHamstrings', 'Hamstrings']","['QuadricepsTrapezius, MiddleRhomboidsLatissimus DorsiTrapezius, UpperLevator ScapulaeTrapezius, Lower', 'Trapezius, MiddleRhomboidsLatissimus DorsiTrapezius, UpperLevator ScapulaeTrapezius, Lower', 'RhomboidsLatissimus DorsiTrapezius, UpperLevator ScapulaeTrapezius, Lower', 'Latissimus DorsiTrapezius, UpperLevator ScapulaeTrapezius, Lower', 'Trapezius, UpperLevator ScapulaeTrapezius, Lower', 'Levator ScapulaeTrapezius, Lower', 'Trapezius, Lower']"
Side Crunch,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Obliques'],['Rectus Abdominis'],['No significant stabilizers']
Wall Side Neck Bridge,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Sternocleidomastoid'],['Synergists'],"['Gluteus MediusGluteus Minimus', 'Gluteus Minimus']"
Lever Wrist Curl,Basic or AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Wrist Flexors'],['None'],['No significant stabilizers']
Cable Lying Straight Leg Raise,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Iliopsoas'],"['Tensor Fasciae LataeSartoriusPectineusRectus FemorisAdductor LongusAdductor Brevis', 'SartoriusPectineusRectus FemorisAdductor LongusAdductor Brevis', 'PectineusRectus FemorisAdductor LongusAdductor Brevis', 'Rectus FemorisAdductor LongusAdductor Brevis', 'Adductor LongusAdductor Brevis', 'Adductor Brevis']","['Rectus AbdominisObliques', 'Obliques']"
Lever Barbell Split Squat (plate loaded),AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']",['Erector Spinae']
Lever Bent-over Hip Extension,AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Gluteus Maximus'],['Adductor Magnus'],"['ObliquesErector SpinaeQuadratus LumborumGluteus MediusGluteus Minimus', 'Erector SpinaeQuadratus LumborumGluteus MediusGluteus Minimus', 'Quadratus LumborumGluteus MediusGluteus Minimus', 'Gluteus MediusGluteus Minimus', 'Gluteus Minimus']"
Lever Pec Deck Fly,AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, ClavicularPectoralis MinorSerratus Anterior', 'Pectoralis MinorSerratus Anterior', 'Serratus Anterior']",['No significant stabilizers']
